epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.887,1.67102,1.95947,1.94823,0.55216,0.49719,0.51568,0.23361,1.86046,1.80944,2.13855,0.00332865,0.00332865,0.00332865
2,1018.44,1.63102,1.57729,1.85359,0.61588,0.5272,0.55375,0.24901,1.85271,1.69957,2.23414,0.00659603,0.00659603,0.00659603
3,1196.54,1.72366,1.76268,1.95235,0.6261,0.44465,0.50299,0.231,1.8676,1.87098,2.21052,0.00979741,0.00979741,0.00979741
4,1372.7,1.76515,1.83225,1.97632,0.65894,0.50385,0.59042,0.24728,1.88851,1.85211,2.17657,0.009703,0.009703,0.009703
5,1549.78,1.70973,1.72146,1.92359,0.76807,0.59662,0.66986,0.30849,1.76558,1.57913,2.06634,0.009604,0.009604,0.009604
6,1726.88,1.65739,1.60505,1.86581,0.68828,0.57411,0.65359,0.31044,1.75969,1.47991,2.0328,0.009505,0.009505,0.009505
7,1904.07,1.62162,1.53437,1.83775,0.69789,0.57974,0.63087,0.29663,1.74152,1.60251,2.06157,0.009406,0.009406,0.009406
8,2079.68,1.57096,1.46701,1.80429,0.73207,0.65666,0.71688,0.37767,1.60343,1.27558,1.91167,0.009307,0.009307,0.009307
9,2257.12,1.54275,1.39166,1.76686,0.75521,0.71774,0.77689,0.38904,1.6303,1.16005,1.91433,0.009208,0.009208,0.009208
10,2433.98,1.52512,1.35758,1.7514,0.80772,0.7093,0.79765,0.42159,1.56477,1.13566,1.86748,0.009109,0.009109,0.009109
11,2611.12,1.4932,1.30343,1.72394,0.74214,0.61017,0.67339,0.32925,1.70725,1.44944,2.05699,0.00901,0.00901,0.00901
12,2786.9,1.4656,1.26656,1.69703,0.7519,0.76763,0.79743,0.44333,1.48209,1.04684,1.79333,0.008911,0.008911,0.008911
13,2963.85,1.44927,1.24318,1.69774,0.80181,0.77298,0.83145,0.45334,1.48925,0.95682,1.81228,0.008812,0.008812,0.008812
14,3140.98,1.42391,1.20527,1.66881,0.80247,0.77298,0.8287,0.46502,1.47136,1.01159,1.78369,0.008713,0.008713,0.008713
15,3317.93,1.39604,1.15778,1.6355,0.8315,0.74993,0.83331,0.46555,1.49135,0.97977,1.79376,0.008614,0.008614,0.008614
16,3494.85,1.38927,1.15065,1.62706,0.85689,0.75266,0.84823,0.46666,1.481,0.94041,1.77086,0.008515,0.008515,0.008515
17,3672.17,1.36363,1.1005,1.61293,0.80537,0.78987,0.83977,0.47808,1.44694,0.90947,1.75703,0.008416,0.008416,0.008416
18,3848.9,1.33732,1.08933,1.59685,0.79258,0.803,0.84471,0.49074,1.41315,0.88322,1.72337,0.008317,0.008317,0.008317
19,4025.94,1.31117,1.04497,1.5814,0.85003,0.76565,0.84163,0.47916,1.46709,0.91369,1.78913,0.008218,0.008218,0.008218
20,4201.41,1.29573,1.02939,1.56051,0.83159,0.74296,0.83878,0.48873,1.41722,0.90244,1.74549,0.008119,0.008119,0.008119
21,4376.88,1.28482,1.00542,1.55285,0.86997,0.78424,0.86672,0.51052,1.37688,0.83196,1.70771,0.00802,0.00802,0.00802
22,4554.58,1.26741,0.98501,1.53867,0.86491,0.79737,0.86969,0.50958,1.38327,0.85267,1.71541,0.007921,0.007921,0.007921
23,4730.17,1.24532,0.95646,1.52114,0.86279,0.76686,0.85193,0.51435,1.36456,0.83396,1.69292,0.007822,0.007822,0.007822
24,4907,1.23378,0.93663,1.50704,0.83327,0.82176,0.87572,0.53977,1.28663,0.79387,1.62165,0.007723,0.007723,0.007723
25,5083.96,1.20477,0.92912,1.48196,0.86232,0.81614,0.8852,0.53054,1.34676,0.80775,1.67267,0.007624,0.007624,0.007624
26,5259.29,1.19695,0.91506,1.47754,0.86139,0.79284,0.87299,0.53093,1.32196,0.77813,1.65114,0.007525,0.007525,0.007525
27,5434.3,1.17509,0.88178,1.4661,0.88605,0.81238,0.88899,0.53658,1.3296,0.75533,1.67242,0.007426,0.007426,0.007426
28,5609.92,1.1621,0.86335,1.44908,0.87503,0.79362,0.88143,0.54294,1.31844,0.75693,1.64858,0.007327,0.007327,0.007327
29,5787.46,1.14925,0.8476,1.44846,0.8967,0.83677,0.8967,0.55476,1.30394,0.73046,1.64208,0.007228,0.007228,0.007228
30,5964.14,1.12615,0.83344,1.43653,0.85757,0.86867,0.89513,0.56113,1.28429,0.71955,1.64231,0.007129,0.007129,0.007129
31,6141.25,1.11781,0.82893,1.4307,0.8696,0.83114,0.88721,0.55319,1.28961,0.72115,1.64451,0.00703,0.00703,0.00703
32,6317.19,1.10356,0.80912,1.42476,0.89608,0.82503,0.89662,0.56375,1.28565,0.7089,1.63499,0.006931,0.006931,0.006931
33,6494.05,1.09014,0.79923,1.40677,0.89,0.81974,0.88873,0.56993,1.27574,0.69642,1.61358,0.006832,0.006832,0.006832
34,6670.94,1.07201,0.77877,1.39239,0.85657,0.84428,0.88442,0.57225,1.26189,0.69276,1.6125,0.006733,0.006733,0.006733
35,6847.69,1.05965,0.764,1.38686,0.8699,0.81614,0.88536,0.56413,1.27171,0.71171,1.64933,0.006634,0.006634,0.006634
36,7022.84,1.04777,0.75022,1.38218,0.89941,0.82199,0.90432,0.57714,1.23801,0.68363,1.60826,0.006535,0.006535,0.006535
37,7200.14,1.04082,0.74149,1.36952,0.8925,0.85178,0.90528,0.5821,1.24055,0.66708,1.59692,0.006436,0.006436,0.006436
38,7377.1,1.02569,0.72823,1.35441,0.87507,0.84108,0.89544,0.58752,1.22625,0.68299,1.59388,0.006337,0.006337,0.006337
39,7554.01,1.00354,0.70659,1.34444,0.87581,0.84428,0.8979,0.60025,1.17392,0.66029,1.56214,0.006238,0.006238,0.006238
40,7731.54,0.99082,0.70726,1.3385,0.87261,0.8482,0.89586,0.59984,1.17465,0.64117,1.57613,0.006139,0.006139,0.006139
41,7906.61,0.98287,0.68628,1.32899,0.8551,0.86116,0.89982,0.59996,1.18344,0.61189,1.56603,0.00604,0.00604,0.00604
42,8082.43,0.96625,0.68449,1.31841,0.87715,0.85733,0.89643,0.599,1.18448,0.63265,1.57446,0.005941,0.005941,0.005941
43,8257.98,0.95231,0.66754,1.29914,0.88347,0.83925,0.89731,0.59997,1.18403,0.63468,1.56613,0.005842,0.005842,0.005842
