epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.329,1.71411,1.94737,1.9429,0.65364,0.55722,0.61561,0.30774,1.73888,1.43936,1.9933,0.00332865,0.00332865,0.00332865
2,263.243,1.61864,1.53654,1.81163,0.65354,0.56273,0.60939,0.26786,1.78324,1.61344,2.08449,0.00659603,0.00659603,0.00659603
3,390.324,1.70457,1.67502,1.87345,0.22863,0.30957,0.15282,0.05218,2.39239,3.08149,2.87469,0.00979741,0.00979741,0.00979741
4,516.505,1.74918,1.76099,1.91441,0.56899,0.55233,0.53453,0.24123,1.89518,1.80499,2.16818,0.009703,0.009703,0.009703
5,642.558,1.69559,1.6522,1.8522,0.71982,0.59286,0.6437,0.30303,1.80322,1.50515,2.04494,0.009604,0.009604,0.009604
6,768.403,1.64861,1.56556,1.82027,0.65041,0.61538,0.64594,0.32381,1.70775,1.48988,1.98491,0.009505,0.009505,0.009505
7,896.215,1.61378,1.48461,1.7928,0.7454,0.65915,0.71361,0.33955,1.74831,1.28975,2.02469,0.009406,0.009406,0.009406
8,1024.3,1.57995,1.44434,1.77239,0.74109,0.61914,0.69549,0.36169,1.67497,1.32954,1.97681,0.009307,0.009307,0.009307
9,1152.09,1.53251,1.3631,1.72987,0.78234,0.69043,0.76898,0.39219,1.60522,1.21492,1.8894,0.009208,0.009208,0.009208
10,1280,1.51103,1.33389,1.71337,0.74,0.62852,0.70341,0.37094,1.59602,1.30914,1.88378,0.009109,0.009109,0.009109
11,1406.21,1.4898,1.26467,1.68061,0.76359,0.70902,0.78396,0.41507,1.56731,1.13183,1.82938,0.00901,0.00901,0.00901
12,1534.16,1.46322,1.24203,1.67157,0.74422,0.73695,0.7887,0.42457,1.56965,1.14335,1.8445,0.008911,0.008911,0.008911
13,1661.89,1.44365,1.20765,1.65077,0.79606,0.7561,0.81827,0.4518,1.51174,1.02111,1.77888,0.008812,0.008812,0.008812
14,1789.82,1.4202,1.17945,1.62867,0.82562,0.7167,0.81768,0.44772,1.50949,1.0251,1.80373,0.008713,0.008713,0.008713
15,1916.01,1.39326,1.14004,1.60292,0.77068,0.76923,0.81576,0.45703,1.4949,0.99448,1.75202,0.008614,0.008614,0.008614
16,2043.86,1.37214,1.10593,1.58547,0.82962,0.73082,0.80778,0.43626,1.55725,1.05697,1.83665,0.008515,0.008515,0.008515
17,2170.01,1.35551,1.07971,1.57874,0.8343,0.74296,0.83484,0.47626,1.44172,0.94618,1.72192,0.008416,0.008416,0.008416
18,2298.31,1.35384,1.06767,1.5731,0.82021,0.78745,0.85271,0.47888,1.48797,0.95169,1.76169,0.008317,0.008317,0.008317
19,2426.3,1.31856,1.02289,1.54712,0.87083,0.7716,0.86055,0.49149,1.43162,0.85997,1.71669,0.008218,0.008218,0.008218
20,2554.53,1.30198,1.00817,1.53996,0.81283,0.7955,0.85553,0.48961,1.42945,0.87746,1.73125,0.008119,0.008119,0.008119
21,2680.55,1.28644,0.9945,1.52554,0.83785,0.81614,0.86662,0.49497,1.41312,0.84886,1.70709,0.00802,0.00802,0.00802
22,2808.41,1.26679,0.96443,1.50962,0.85542,0.82142,0.87259,0.51561,1.37967,0.82177,1.67333,0.007921,0.007921,0.007921
23,2936.5,1.25206,0.94579,1.49525,0.86939,0.79924,0.8715,0.51282,1.41073,0.82578,1.7112,0.007822,0.007822,0.007822
24,3062.5,1.24475,0.93398,1.48558,0.87268,0.79737,0.87502,0.52392,1.36986,0.79126,1.66662,0.007723,0.007723,0.007723
