epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3086,1.73357,2.83931,1.90102,0.5403,0.37523,0.42449,0.19017,1.83811,2.35131,2.18801,0.00332865,0.00332865,0.00332865
2,155.99,1.67843,2.00829,1.78799,0.62128,0.48013,0.51918,0.22552,1.87331,1.91179,2.09668,0.00659603,0.00659603,0.00659603
3,230.56,1.75355,1.90293,1.84948,0.58783,0.41651,0.44967,0.17956,1.95421,2.17827,2.25516,0.00979741,0.00979741,0.00979741
4,304.695,1.79066,1.88726,1.88613,0.55949,0.48593,0.50308,0.19243,2.00392,2.06331,2.24073,0.009703,0.009703,0.009703
5,378.89,1.74014,1.7634,1.83406,0.64683,0.56696,0.62181,0.29567,1.79753,1.5962,2.02054,0.009604,0.009604,0.009604
6,452.848,1.69522,1.68404,1.79765,0.70271,0.612,0.67502,0.32854,1.69037,1.48603,1.94285,0.009505,0.009505,0.009505
7,526.722,1.66455,1.60524,1.76555,0.74966,0.61726,0.69645,0.34431,1.72774,1.38791,1.95195,0.009406,0.009406,0.009406
8,601.249,1.64548,1.56987,1.7537,0.7762,0.59662,0.71872,0.36785,1.67921,1.29715,1.88331,0.009307,0.009307,0.009307
9,675.203,1.60069,1.50945,1.72474,0.71738,0.65478,0.71292,0.36107,1.68913,1.3235,1.91766,0.009208,0.009208,0.009208
10,749.128,1.58382,1.49014,1.71189,0.71608,0.66246,0.72044,0.36886,1.63616,1.31232,1.848,0.009109,0.009109,0.009109
11,823.25,1.57045,1.43217,1.68325,0.80273,0.68668,0.76805,0.39679,1.65287,1.21397,1.85409,0.00901,0.00901,0.00901
12,897.44,1.55175,1.41256,1.67756,0.77642,0.67167,0.75544,0.37016,1.67519,1.26048,1.88672,0.008911,0.008911,0.008911
13,972.358,1.53573,1.37397,1.65852,0.79157,0.66604,0.75427,0.393,1.63086,1.24945,1.84464,0.008812,0.008812,0.008812
14,1046.6,1.5188,1.34734,1.64343,0.81198,0.72795,0.81015,0.43437,1.55531,1.14816,1.7896,0.008713,0.008713,0.008713
15,1120.19,1.49927,1.31207,1.62518,0.77865,0.70356,0.78167,0.41877,1.56899,1.1423,1.78391,0.008614,0.008614,0.008614
16,1194.32,1.48665,1.28413,1.61938,0.77293,0.72983,0.78801,0.42608,1.55935,1.0905,1.78397,0.008515,0.008515,0.008515
17,1268.31,1.47556,1.26445,1.61013,0.80142,0.70732,0.80206,0.4231,1.58317,1.12197,1.79277,0.008416,0.008416,0.008416
18,1342.53,1.47201,1.25595,1.60319,0.80336,0.72053,0.8118,0.43891,1.53215,1.11929,1.75421,0.008317,0.008317,0.008317
19,1416.36,1.45332,1.21245,1.57629,0.82646,0.73171,0.82653,0.44925,1.49691,1.05852,1.72592,0.008218,0.008218,0.008218
20,1490.25,1.44262,1.2161,1.5724,0.81782,0.73546,0.81782,0.4472,1.54505,1.00156,1.75337,0.008119,0.008119,0.008119
21,1564.63,1.43126,1.20617,1.56696,0.82044,0.77152,0.83654,0.45484,1.50171,0.99827,1.72765,0.00802,0.00802,0.00802
22,1639.16,1.42364,1.18001,1.5609,0.84684,0.7242,0.81461,0.45465,1.53397,0.9914,1.73782,0.007921,0.007921,0.007921
23,1714.07,1.40669,1.15608,1.55218,0.83805,0.76735,0.84194,0.46025,1.50224,0.97221,1.727,0.007822,0.007822,0.007822
