epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2683,1.78096,2.2279,1.95121,0.60983,0.50844,0.5304,0.25281,1.78597,1.68843,2.06227,0.00332865,0.00332865,0.00332865
2,180.394,1.64415,1.5813,1.76554,0.66459,0.5666,0.61861,0.28395,1.8104,1.54249,2.01952,0.00659603,0.00659603,0.00659603
3,265.718,1.71752,1.66383,1.807,0.53501,0.5122,0.48727,0.20285,2.07393,1.95042,2.27473,0.00979741,0.00979741,0.00979741
4,350.634,1.76103,1.76709,1.85366,0.70043,0.53096,0.59628,0.26321,1.88234,1.87199,2.12131,0.009703,0.009703,0.009703
5,435.671,1.70849,1.66977,1.81696,0.67373,0.58161,0.64425,0.30223,1.80423,1.53297,2.06328,0.009604,0.009604,0.009604
6,520.728,1.66475,1.57351,1.77628,0.7467,0.62101,0.68513,0.32573,1.69746,1.46358,1.93756,0.009505,0.009505,0.009505
7,607.533,1.62495,1.48575,1.73359,0.69152,0.6519,0.6983,0.34169,1.72167,1.3889,1.95094,0.009406,0.009406,0.009406
8,692.439,1.60465,1.4732,1.72609,0.75344,0.64211,0.72947,0.36582,1.68382,1.28072,1.92458,0.009307,0.009307,0.009307
9,777.106,1.56397,1.38695,1.68571,0.74999,0.65286,0.72827,0.37241,1.64305,1.31927,1.87625,0.009208,0.009208,0.009208
10,861.757,1.53672,1.36957,1.66733,0.72794,0.73358,0.77812,0.39304,1.56657,1.20973,1.79724,0.009109,0.009109,0.009109
11,946.579,1.52071,1.31514,1.64291,0.85158,0.68105,0.80116,0.41879,1.6138,1.15958,1.86067,0.00901,0.00901,0.00901
12,1031.19,1.49491,1.28625,1.62951,0.79604,0.66635,0.76086,0.38479,1.64764,1.31462,1.88222,0.008911,0.008911,0.008911
13,1115.87,1.47909,1.25003,1.61613,0.77918,0.73358,0.79661,0.43197,1.55701,1.09728,1.78429,0.008812,0.008812,0.008812
14,1200.46,1.45585,1.21072,1.59469,0.75025,0.75523,0.80923,0.43027,1.5547,1.05778,1.78844,0.008713,0.008713,0.008713
15,1285.08,1.43588,1.17445,1.57399,0.79373,0.74672,0.8088,0.4466,1.54372,1.02619,1.77961,0.008614,0.008614,0.008614
16,1370.73,1.4153,1.15036,1.55646,0.814,0.75538,0.83605,0.46624,1.5183,1.0321,1.74116,0.008515,0.008515,0.008515
